id,name,elevation,area
4,Hurricane Ridge,5250,Olympics
5,Mt Baker - Heather Meadows,4210,Mt Baker
6,Mt Baker - Pan Dome,5020,Mt Baker
12,Berne Snow Camp,2700,Mt Baker
13,Stevens Pass - Schmidt Haus,3950,Stevens Pass
14,Stevens Pass - Grace Lakes,4800,Stevens Pass
15,Stevens Pass - Brooks Wind,4850,Stevens Pass
50,Stevens Pass - Brooks,4800,Stevens Pass
17,Stevens Pass - Skyline,5250,Stevens Pass
18,Stevens Pass - Skyline,5250,Stevens Pass
1,Alpental Base,3100,Snoqualmie Pass
2,Alpental Mid-Mountain,4350,Snoqualmie Pass
3,Alpental Summit,5470,Snoqualmie Pass
20,Mt Washington,4340,Snoqualmie Pass
21,Snoqualmie Pass,3010,Snoqualmie Pass
22,Snoqualmie Pass - Dodge Ridge,3760,Snoqualmie Pass
23,Snoqualmie Pass - East Shed,3770,Snoqualmie Pass
27,Crystal Green Valley,6230,Mt Rainier
28,Crystal Base,4570,Mt Rainier
29,Crystal Summit,6830,Mt Rainier
30,Sunrise Upper,6880,Mt Rainier
31,Sunrise Base,6410,Mt Rainier
32,Chinook Pass Summit,6240,Mt Rainier
33,Chinook Pass Base,5500,Mt Rainier
34,Camp Muir,10110,Mt Rainier
35,Paradise,5400,Mt Rainier
36,Paradise Wind,5380,Mt Rainier
37,White Pass Base,4470,White Pass
49,White Pass Pigtail Peak,5970,White Pass
39,White Pass Upper,5800,White Pass
40,Mt St Helens - Coldwater ,3260,Mt St Helens
7,Mazama,2170,Washington Pass
8,Washington Pass Base,5450,Washington Pass
9,Washington Pass Upper,6680,Washington Pass
10,Dirty Face Summit,5980,Lake Wenatchee - Mission Ridge
11,Lake Wenatchee,1930,Lake Wenatchee - Mission Ridge
19,Tumwater Mountain,4180,Lake Wenatchee - Mission Ridge
48,Blewett Pass,4100,Lake Wenatchee - Mission Ridge
24,Mission Ridge Base,4610,Lake Wenatchee - Mission Ridge
26,Mission Ridge Mid-Mountain,5160,Lake Wenatchee - Mission Ridge
25,Mission Ridge Summit,6730,Lake Wenatchee - Mission Ridge
41,Mt Hood Meadows Cascade Express,7300,Mt Hood
45,Timberline Magic Mile,6990,Mt Hood
42,Mt Hood Meadows Blue,6540,Mt Hood
43,Mt Hood Meadows Base,5380,Mt Hood
44,Timberline Lodge,5880,Mt Hood
46,Ski Bowl Base,3660,Mt Hood
47,Ski Bowl Summit,5010,Mt Hood
